Name,Kategorie,Breitengrad,Laengengrad
Montessori Tagesschule Blüemlisalp,Schule,47.4041465,8.5475648
Schule Allenmoos,Schule,47.4026368,8.5393953
Schulanlage Halde,Schule,47.4071441,8.5459677
Schule Gubel,Schule,47.4076334,8.5413655
Schule Liguster,Schule,47.4064622,8.5444281
Schulhaus Luchswiesen,Schule,47.404175,8.5825465
Schule Kornhaus,Schule,47.3861968,8.5306822
Schulhaus Wasserwerk,Schule,47.3883573,8.5310523
Schule Letten,Schule,47.3891453,8.5330845
Rietberg Montessori School,Schule,47.3584822,8.532397
Schule Lavater,Schule,47.3608111,8.5326417
Schule Gabler,Schule,47.3603815,8.5299693
Schule Hans Asper,Schule,47.3417103,8.5338887
Schule Weinberg,Schule,47.3892025,8.5398488
Schulhaus Mattenhof,Schule,47.3988978,8.588236
Schule Saatlen,Schule,47.4083429,8.5631029
Schule Münchhalde,Schule,47.3557518,8.5588987
Schule Riesbach (Seefeld),Schule,47.3573232,8.5558733
Schule Scherr,Schule,47.3844325,8.5464621
Jugendmusikschule Zürich,Schule,47.3660539,8.5535513
Schule Ahorn,Schule,47.4044053,8.5661953
Schule Auhof,Schule,47.4071798,8.5714537
Schule Friedrichstrasse,Schule,47.4046959,8.5684156
Schule Herzogenmühle,Schule,47.4083073,8.5736283
Schule Auzelg 2,Schule,47.4160134,8.5682548
Schule Luchswiesen,Schule,47.4042861,8.5830258
Schule Mattenhof,Schule,47.3988765,8.5887353
Freiluftschule Zürichberg,Schule,47.3641609,8.5734696
Kantonsschule Hottingen,Schule,47.3683687,8.5527736
Gfellergut Sozialpädagogisches Zentrum,Schule,47.3938867,8.5885593
Schule Freiestrasse,Schule,47.3630639,8.5626248
Schule Balgrist,Schule,47.3542497,8.5778813
Schulungsräume Chiropraktische Medizin,Schule,47.3541093,8.5740479
Schule Kartaus,Schule,47.3565963,8.5616065
Schule Entlisberg,Schule,47.3375468,8.5278693
Schule Hirzenbach,Schule,47.404291,8.5871807
Schule Auzelg 1,Schule,47.4148216,8.5701285
Schule Albisriederplatz,Schule,47.380054,8.5085688
Schule Manegg,Schule,47.3478644,8.5264807
Naturschule Allmend,Schule,47.3421391,8.5168408
Tagesschule Neubühl,Schule,47.3326003,8.5332101
Schule Aemtler A,Schule,47.3736908,8.5126647
Schule Aegerten,Schule,47.3684744,8.522782
Schule Zurlinden,Schule,47.3720272,8.5175237
Schule Aemtler,Schule,47.3737041,8.5121081
Schule Im Gut,Schule,47.3714901,8.50405
Schule Rebhügel,Schule,47.3658019,8.5173066
"Fachschule Viventa, Schulhaus Wengi",Schule,47.3754458,8.5232859
Schule Aussersihl (Kern),Schule,47.3773754,8.5247251
Schule Aussersihl (Brauer),Schule,47.3789357,8.5255261
Schule Aussersihl (Hohl),Schule,47.3783547,8.5249972
Schule Feld,Schule,47.3783749,8.522265
Schule Sihlfeld,Schule,47.3808054,8.5147777
Schule Untermoos,Schule,47.3805562,8.4822502
Schule Letzi,Schule,47.3708316,8.4973942
Schule Döltschi,Schule,47.3641424,8.5001427
Schule Küngenmatt,Schule,47.3681627,8.50305
Schule Buhn,Schule,47.420528,8.5445222
Schule Buhnrain,Schule,47.420358,8.5425763
Schule Himmeri Staudenbühl,Schule,47.4190593,8.5350721
Schul- und Sportanlage Buchwiesen,Schule,47.4271624,8.5406623
Schule Kolbenacker,Schule,47.4259664,8.5513311
Schule Blumenfeld,Schule,47.4230668,8.504347
Literaturgymnasium & Realgymnasium Rämibühl,Schule,47.3715225,8.5533856
Schule Hardau,Schule,47.3823129,8.509759
Atelierschule Rudolf Steiner Schule Zürich,Schule,47.3731394,8.5544299
Kantonsschule Hohe Promenade,Schule,47.3683311,8.5486068
Sekundarschule Brunnenhof + Kreisschulbehörde Waidberg,Schule,47.4013165,8.5351536
Kantonsschule Zürich Nord,Schule,47.4080392,8.5345477
Kantonsschule Wiedikon,Schule,47.3692136,8.515496
Schule Bühl,Schule,47.3683687,8.5160107
FOSZ Freie Oberstufenschule Zürich,Schule,47.4149792,8.5148154
Schule Käferholz,Schule,47.4115953,8.5225487
Schul- und Sportanlage Schauenberg,Schule,47.413963,8.510636
Schule Bachtobel,Schule,47.3588671,8.511629
Schule Fluntern,Schule,47.3762248,8.5584882
Schule Looren,Schule,47.3610657,8.5961785
Schule Altweg,Schule,47.3725292,8.4927307
Schule Pfingstweid,Schule,47.3888226,8.5137842
Schule Im Isengrind,Schule,47.4232231,8.5144893
Schule Riedenhalden,Schule,47.4190354,8.5117629
Schule Holderbach,Schule,47.4188405,8.5041632
Schule Kügeliloo,Schule,47.4102871,8.5284232
Schule Hürstholz,Schule,47.4144756,8.5218477
Schule Im Birch,Schule,47.4160356,8.5400181
Schule Dachslernstrasse,Schule,47.3882254,8.4817849
Schule Sihlweid,Schule,47.3269955,8.516243
Schule Falletsche-Leimbach,Schule,47.3332991,8.5155756
Schule Hard,Schule,47.3825442,8.5163463
Schule Neubühl,Schule,47.3329773,8.5331624
Schule Im Lee,Schule,47.340136,8.5344631
Schule Wollishofen,Schule,47.3423421,8.534336
Schule Am Uetliberg,Schule,47.3595018,8.5054843
Schule Hirslanden (Neumünster),Schule,47.3617577,8.5589664
Schule Hofacker,Schule,47.3622898,8.5650518
Schule Heubeeribüel,Schule,47.3815074,8.5659333
Schule Bungertwies,Schule,47.3718868,8.5608619
Schule Hirschengraben,Schule,47.3737107,8.5474643
Schule Langmatt,Schule,47.3570383,8.5872058
Schule Freilager,Schule,47.3791146,8.4877231
Schule Grünau,Schule,47.3968121,8.4882215
Schule Triemli und In der Ey,Schule,47.373285,8.4878844
Schule Mühlebach,Schule,47.362676,8.5537753
EB Zürich Kantonale Schule für Berufsbildung,Schule,47.3602015,8.5546989
Schule Lachenzelg,Schule,47.4050094,8.489893
Schule Pünten,Schule,47.4043097,8.4887515
Schule Vogtsrain,Schule,47.404104,8.4992687
Schule Hutten,Schule,47.3820577,8.5489301
Freie Katholische Schule Kreuzbühl,Schule,47.3655127,8.5504308
