Strassenname,Strassentyp,Breitengrad,Laengengrad
Hermetschloobrücke,secondary,47.3957286,8.4733159
Kanonengasse,residential,47.3785886,8.5307315
Zwinglistrasse,residential,47.3781274,8.529208
Dienerstrasse,residential,47.377828,8.5282849
Brauerstrasse,residential,47.3774246,8.5277731
Ankerstrasse,residential,47.3740286,8.5248666
Reitergasse,residential,47.3768609,8.5333675
Bullingerstrasse,residential,47.3804906,8.5127478
Gutstrasse,secondary,47.3700368,8.5099352
Birmensdorferstrasse,secondary_link,47.3687912,8.5012659
Talwiesenstrasse,residential,47.3688888,8.5110806
Stampfenbachstrasse,tertiary,47.3774019,8.5438951
Stampfenbachstrasse,tertiary,47.3803343,8.5428559
Bahnhofquai,residential,47.3764341,8.5419191
Bahnhofquai,tertiary,47.3774759,8.5415682
Bahnhofquai,tertiary,47.3779546,8.5415439
Ausstellungsstrasse,residential,47.3810089,8.5379894
Kanzleistrasse,residential,47.3788588,8.5156577
Hohlstrasse,residential,47.3777691,8.5253886
Hohlstrasse,tertiary,47.3799443,8.5211083
Fierzgasse,residential,47.3833698,8.5324234
Fierzgasse,residential,47.3838815,8.5317383
Baumgasse,residential,47.3821895,8.5356105
Neugasse,residential,47.3829768,8.5288354
Neufrankengasse,tertiary,47.3801553,8.5279199
Schöneggstrasse,tertiary,47.3806834,8.5255344
Brauerstrasse,residential,47.378095,8.5264914
Herbartstrasse,residential,47.378172,8.5254557
Kernstrasse,residential,47.3762163,8.5244118
Hohlstrasse,tertiary,47.3797401,8.5213957
Magnusstrasse,residential,47.3798584,8.5249182
Feldstrasse,tertiary,47.3781388,8.5227394
Feldstrasse,residential,47.3773264,8.5221541
Pflanzschulstrasse,residential,47.3773907,8.5210286
Beckenhofstrasse,residential,47.3873034,8.5397595
Kurvenstrasse,residential,47.3841156,8.5423514
Turnerstrasse,residential,47.3873404,8.5423553
Ottikerstrasse,residential,47.3853881,8.5419954
St. Peterstrasse,residential,47.3707857,8.5374205
Nüschelerstrasse,residential,47.3734718,8.534713
Schwamendingenstrasse,primary,47.4041921,8.5623276
Ueberlandstrasse,primary,47.4042364,8.5566763
Schwamendingenstrasse,tertiary,47.4076312,8.5485582
Irchelstrasse,tertiary,47.3965207,8.5426275
Bahnhofquai,residential,47.3764624,8.5416093
Beatenplatz,residential,47.3759514,8.5413535
Schweighofstrasse,secondary,47.3535475,8.511728
Kurfirstenstrasse,residential,47.3536182,8.5287029
Rebhaldenstrasse,residential,47.3594121,8.5281548
Brunaustrasse,residential,47.3555823,8.5293184
Lessingstrasse,residential,47.3534299,8.5251426
Morgentalstrasse,residential,47.3440128,8.5292609
Mutschellenstrasse,tertiary,47.3440358,8.5299983
Rossbergstrasse,residential,47.35418,8.5276898
Salomon-Vögelin-Strasse,residential,47.3474861,8.5258953
Tannenrauchstrasse,residential,47.3446343,8.5285691
Brandschenkestrasse,tertiary,47.3661352,8.5281894
Grütlistrasse,residential,47.3603346,8.531277
Bürglistrasse,residential,47.3614383,8.5292391
Gablerstrasse,residential,47.3594088,8.5304039
Ohne Namen,residential,47.3519766,8.5304397
Kappelistrasse,residential,47.3518277,8.5304861
Scheideggstrasse,residential,47.3543302,8.5292711
Bellariastrasse,residential,47.3524135,8.530378
Etzelstrasse,residential,47.344362,8.5301364
Dreikönigstrasse,residential,47.3670065,8.5363391
Gutenbergstrasse,residential,47.3652468,8.530556
General-Wille-Strasse,tertiary,47.3638363,8.531708
Tanzbodenstrasse,residential,47.3534359,8.5289054
Talstrasse,tertiary,47.3724026,8.5343875
Joachim-Hefti-Weg,residential,47.3596034,8.5291729
Steinentischstrasse,residential,47.3640369,8.528455
Klopstockstrasse,residential,47.3624493,8.5260033
Conrad-Ferdinand-Meyer-Strasse,residential,47.3587702,8.5332847
Lavaterstrasse,residential,47.3610386,8.5329142
Tödistrasse,residential,47.3648246,8.5356911
Biberlinstrasse,residential,47.3646982,8.5730637
Freiestrasse,tertiary,47.3614655,8.565398
Eidmattstrasse,residential,47.3653817,8.5609959
Kapfsteig,residential,47.360955,8.5714181
Buchzelgstrasse,residential,47.3592662,8.585007
Hottingerstrasse,secondary,47.3704158,8.5497043
Hofackerstrasse,secondary,47.3625608,8.5675369
Höhenweg,residential,47.3640474,8.5682562
Hegibachstrasse,tertiary,47.3620522,8.560579
Jupiterstrasse,secondary,47.3654961,8.5650216
Klusstrasse,residential,47.3648401,8.5705234
Klusweg,residential,47.3630586,8.5722158
Kapfsteig,residential,47.3613316,8.572543
Konkordiastrasse,residential,47.3668259,8.5600774
Reinacherstrasse,residential,47.3660385,8.5603844
Gattikerstrasse,residential,47.3607968,8.5667303
Kluseggstrasse,residential,47.3639917,8.5695673
Kapfstrasse,residential,47.3627764,8.5704408
Waldschulweg,residential,47.3638644,8.5727392
Klusdörfli,residential,47.3650297,8.5690053
Kempterstrasse,residential,47.3659616,8.5676113
Ohne Namen,residential,47.3621084,8.5704784
Jupiterstrasse,residential,47.3650259,8.5638595
Hegibachstrasse,residential,47.3652872,8.5693909
Höhensteig,residential,47.3634576,8.5679793
Sonnenbergstrasse,residential,47.3687269,8.5660872
Kurhausstrasse,residential,47.374224,8.5677014
Aurorastrasse,residential,47.3731755,8.5666267
Carl-Schröter-Strasse,residential,47.3681995,8.5698478
Heuelstrasse,residential,47.3690082,8.5672786
Titlisstrasse,residential,47.3674676,8.5655841
Titlisstrasse,residential,47.37119,8.5630491
Carmenstrasse,residential,47.3702382,8.5614126
Hölderlinstrasse,residential,47.3657552,8.5633326
Samariterstrasse,residential,47.3666808,8.5632602
Sonnhaldenstrasse,residential,47.3670114,8.5626315
Kreuzbühlstrasse,secondary,47.3646946,8.5543197
Ulmbergstrasse,residential,47.3658013,8.5312802
Splügenstrasse,residential,47.3644558,8.5342119
Bodmerstrasse,residential,47.3654078,8.5332512
Im Stadtgraben,tertiary,47.3776977,8.5434019
Gloriastrasse,tertiary,47.3758567,8.5591318
Kantonsschulstrasse,residential,47.3723097,8.5498435
St. Jakobstrasse,residential,47.3738544,8.5281158
Rotwandstrasse,residential,47.3743221,8.5269614
Zeughausstrasse,residential,47.3750523,8.5315338
Furttalstrasse,tertiary,47.4211849,8.5006725
Regensdorferstrasse,secondary,47.4146432,8.483489
Winzerhalde,residential,47.3997271,8.4920732
Am Giessen,residential,47.399592,8.4943868
Breitensteinstrasse,tertiary,47.3947039,8.5138029
Geroldstrasse,tertiary,47.3858989,8.5194788
Hardbrücke,secondary,47.3832047,8.5152215
Wipkingerbrücke,tertiary,47.3915995,8.5235082
Hardturmstrasse,tertiary,47.3912943,8.5201471
Duttweilerbrücke,tertiary,47.387389,8.5095773
Duttweilerbrücke,tertiary,47.3852799,8.5085286
Duttweilerbrücke,tertiary,47.3894598,8.5115773
Rautihalde,residential,47.3872904,8.474557
Feldblumenstrasse,residential,47.3868615,8.4820731
Eugen-Huber-Strasse,residential,47.3889674,8.4711773
Eulenweg,residential,47.3835085,8.4814508
Bachmattstrasse,residential,47.3908991,8.4846886
Altstetterstrasse,tertiary,47.3902697,8.4871019
Herrligstrasse,residential,47.3893122,8.4850763
Meier-Bosshard-Strasse,residential,47.389186,8.4859138
Baslerstrasse,residential,47.3891747,8.4885
Kochstrasse,residential,47.3784063,8.5146046
Agnesstrasse,residential,47.3786145,8.5125443
Elsastrasse,residential,47.377305,8.5148026
Denzlerstrasse,residential,47.378015,8.512521
Zurlindenstrasse,residential,47.3741426,8.5152005
Friedaustrasse,residential,47.3767318,8.5102922
Aemtlerstrasse,tertiary,47.3774505,8.5083473
Hardaustrasse,residential,47.3773653,8.5092561
Zypressenstrasse,residential,47.3772948,8.5127613
Fritschistrasse,residential,47.3759147,8.5126545
Weststrasse,residential,47.3745363,8.5171446
Eschwiesenstrasse,residential,47.3727387,8.5159129
Zurlindenstrasse,residential,47.3728555,8.5171008
Körnerstrasse,residential,47.373905,8.5219075
Elisabethenstrasse,residential,47.3726471,8.523059
Hochfarbstrasse,residential,47.3796233,8.5436949
Hochfarbstrasse,residential,47.379562,8.5435004
Hochfarbstrasse,residential,47.3791563,8.5438855
Hochfarbstrasse,residential,47.3787502,8.5441576
Hügelstrasse,residential,47.3549134,8.5258341
Grüngasse,residential,47.3722678,8.5266753
Cramerstrasse,residential,47.3733746,8.5260422
Wyssgasse,residential,47.373697,8.5254117
Pflanzschulstrasse,residential,47.3759144,8.5200051
Wengistrasse,residential,47.3755274,8.5217295
Schreinerstrasse,residential,47.3756671,8.5221551
Kalkbreitestrasse,tertiary,47.3737741,8.5201227
Zweierstrasse,tertiary,47.3722589,8.5230088
Gartenhofstrasse,residential,47.3728658,8.5250449
Zweierstrasse,tertiary,47.3730097,8.526903
Morgartenstrasse,residential,47.371138,8.5300874
Verena-Conzett-Strasse,residential,47.3706843,8.5263508
Schöntalstrasse,residential,47.3701622,8.5276486
Werdstrasse,residential,47.3692125,8.5233179
Hallwylstrasse,residential,47.3702001,8.527197
